0.745393-0.330824j,0.021457+0.106015j,0.021457+0.106015j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
0.745393-0.330824j,0.021472+0.106051j,0.021441+0.105978j,0.000000
